record_type,name,phase,sponsor,match_tier,matched_dashboard_name,matched_candidate_text,matched_candidate_kind,dashboard_bucket,pipeline_scope,nct_ids
nih_record,ACP‐204,Phase 3,ACADIA Pharmaceuticals Inc.; ACADIA Pharmaceuticals Inc.,normalized_exact,ACP-204,ACP‐204,canonical,,,NCT06159673; NCT06194799
nih_record,AR1001,Phase 3,"AriBio Co., Ltd.",exact_canonical,AR1001,AR1001,canonical,,,NCT05531526
nih_record,Buntanetap,Phase 3,Annovis Bio Inc.,unmatched,,,,,,NCT06709014
nih_record,Caffeine,Phase 3,"University Hospital, Lille",exact_canonical,Caffeine,Caffeine,canonical,,,NCT04570085
nih_record,Donanemab,Phase 3,Eli Lilly and Company; Eli Lilly and Company; Eli Lilly and Company; Eli Lilly and Company; Banner Health,exact_canonical,Donanemab,Donanemab,canonical,,,NCT04437511; NCT05026866; NCT05508789; NCT05738486; NCT06996730
nih_record,Donepezil,Phase 3,Assistance Publique—Hôpitaux de Paris,exact_canonical,Donepezil,Donepezil,canonical,,,NCT04661280
nih_record,Escitalopram,Phase 3,JHSPH Center for Clinical Trials,exact_canonical,Escitalopram,Escitalopram,canonical,,,NCT03108846
nih_record,Etalanetug (E2814) + Lecanemab (BAN2401),Phase 3,Washington University School of Medicine; Washington University School of Medicine,exact_alias,E2814,E2814,alias,,,NCT01760005; NCT05269394
nih_record,Gantenerumab,Phase 3,Washington University School of Medicine,exact_canonical,Gantenerumab,Gantenerumab,canonical,,,NCT01760005
nih_record,Gonadorelin,Phase 3,Nelly Pitteloud,unmatched,,,,,,NCT04390646
nih_record,Guanfacine,Phase 3,Imperial College London,exact_canonical,Guanfacine,Guanfacine,canonical,,,NCT03116126
nih_record,Huperzine A,Phase 3,"Wanbangde Pharmaceutical Group Co., LTD",exact_canonical,Huperzine A,Huperzine A,canonical,,,NCT07066826
nih_record,KarXT,Phase 3,Karuna Therapeutics; Karuna Therapeutics; Karuna Therapeutics; Karuna Therapeutics,exact_canonical,KarXT,KarXT,canonical,,,NCT05511363; NCT05980949; NCT06126224; NCT06585787
nih_record,KarXT + KarX‐EC,Phase 3,Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb,exact_alias,KarXT,KarXT,component_canonical,,,NCT06937229; NCT06947941; NCT06976203; NCT06976216; NCT07011732; NCT07011745
nih_record,Latrepirdine,Phase 3,Bigespas LTD,unmatched,,,,,,NCT07251023
