display_name,phase_reached,drug_type,target,status_summary,trial_count,max_enrollment,sponsor,is_aribio,verification_status,classification_confidence,needs_manual_review,confirmed_trial_count,unverified_trial_count
3APS,Phase 3,Small Molecule,Amyloid,Unknown,2,950.0,Bellus Health Inc. - a GSK company,False,no_match,medium,True,0,2
AC-1204,Phase 3,Small Molecule,Other,Completed,1,418.0,Cerecin,False,no_match,medium,True,0,1
ACP-204,Phase 3,Small Molecule,Neuropsychiatric,Recruiting,2,1074.0,ACADIA Pharmaceuticals Inc.,False,no_match,medium,True,0,2
AG10,Phase 3,Small Molecule,Amyloid,Discontinued,1,0.0,"Eidos Therapeutics, a BridgeBio company",False,no_match,medium,True,0,1
AGB101,Phase 3,Small Molecule,Other,Completed,3,164.0,AgeneBio; Medical College of Wisconsin,False,no_match,medium,True,0,3
ANAVEX2-73,Phase 3,Small Molecule,Neuroprotection,Completed,2,300.0,Anavex Life Sciences Corp.,False,no_match,medium,True,0,2
AR1001,Phase 3,Small Molecule,Neuroprotection,Active,2,1535.0,"AriBio Co., Ltd.",True,pipeline_record_match_without_source,medium,True,2,0
ATH-1017,Phase 3,Small Molecule,Neuroprotection,Completed,3,554.0,LeonaBio,False,no_match,medium,True,0,3
AVP-786,Phase 3,Small Molecule,Neuropsychiatric,Completed,5,1197.0,"Otsuka Pharmaceutical Development & Commercialization, Inc.",False,no_match,medium,True,0,5
AVP-923,Phase 3,Small Molecule,Other,Completed,1,600.0,Avanir Pharmaceuticals,False,no_match,medium,True,0,1
AXS-05,Phase 3,Small Molecule,Neuropsychiatric,Completed,2,408.0,"Axsome Therapeutics, Inc.",False,no_match,medium,True,0,2
AXS-05 (dextromethorphan-bupropion),Phase 3,Small Molecule,Neuropsychiatric,Completed,2,456.0,"Axsome Therapeutics, Inc.",False,no_match,medium,True,0,2
Acoramidis,Phase 3,Small Molecule,Amyloid,Recruiting,3,632.0,"Eidos Therapeutics, a BridgeBio company",False,no_match,medium,True,0,3
Acoramidis (AG10),Phase 3,Small Molecule,Other,Recruiting,1,250.0,"Eidos Therapeutics, a BridgeBio company",False,no_match,medium,True,0,1
Aducanumab,Phase 3,Biologic,Amyloid,Discontinued,6,1696.0,Biogen,False,pipeline_record_match_without_source,medium,True,6,0
Aducanumab (BIIB037),Phase 3,Biologic,Amyloid,Discontinued,2,1653.0,Biogen,False,no_match,medium,True,0,2
"Angiotensin II receptor blocker (ARB, losartan) and calcium channel blocker (CCB, amlodipine)",Phase 3,Small Molecule,Other,Completed,1,513.0,University of Texas Southwestern Medical Center,False,no_match,medium,True,0,1
Aripiprazole,Phase 3,Small Molecule,Neuropsychiatric,Completed,3,125.0,"Otsuka Pharmaceutical Development & Commercialization, Inc.",False,no_match,medium,True,0,3
Aripiprazole (BMS-337039),Phase 3,Small Molecule,Neuropsychiatric,Completed,1,232.0,"Otsuka Pharmaceutical Development & Commercialization, Inc.",False,no_match,medium,True,0,1
Atabecestat,Phase 3,Small Molecule,Amyloid,Discontinued,2,557.0,"Janssen Research & Development, LLC",False,no_match,medium,True,0,2
Atorvastatin,Phase 3,Small Molecule,Metabolism,Completed,2,600.0,"Pfizer's Upjohn has merged with Mylan to form Viatris Inc.; University of Wisconsin, Madison",False,no_match,medium,True,0,2
Azeliragon,Phase 3,Small Molecule,Amyloid,Discontinued,3,880.0,vTv Therapeutics,False,no_match,medium,True,0,3
BPDO-1603,Phase 3,Small Molecule,Other,Unknown,2,712.0,"Hyundai Pharm; Hyundai Pharmaceutical Co., LTD.",False,no_match,medium,True,0,2
