NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT01766336,"OPKO Health, Inc.",A 36-Week Safety Extension Study of ELND005 as a Treatment for Agitation and Aggression in Alzheimer's Disease,DRUG: Group 1 ELND005|DRUG: Group 2 ELND005,Group 1 ELND005; Group 2 ELND005,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Group 1 ELND005; Group 2 ELND005) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06623864,Universidad de Burgos,Significant Activities in the Integrated Person-centered Care Model,OTHER: meaningful activities|OTHER: other activities,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04942184,Boston University,STRATEGIES to Improve Memory in Alzheimer's Disease,BEHAVIORAL: Memory strategies in Arm 1|DEVICE: Electroencephalogram (EEG) headset in Arm 1|OTHER: Tablet in Arm 1|BEHAVIORAL: Memory strategies in Arm 2|DEVICE: Electroencephalogram (EEG) headset in Arm 2|OTHER: Tablet in Arm 2,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07558785,Faculty Hospital Kralovske Vinohrady,Telemedicine Self-examination of Speech and Memory for Rapid Detection of Cognitive Impairments Using Machine Learning Methods,DIAGNOSTIC_TEST: The Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)|DIAGNOSTIC_TEST: the Mississippi Aphasia Screening Test|DIAGNOSTIC_TEST: Amnesia Light and Brief Assessment (ALBA)|DIAGNOSTIC_TEST: The Picture naming and immediate recall test (PICNIR)|DIAGNOSTIC_TEST: Geriatric Depression Scale (GDS-15)|DIAGNOSTIC_TEST: The Beck Anxiety Inventory (BAI)|DIAGNOSTIC_TEST: Digitial Diagnostics of Dementia (DDD),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00715858,McMaster University,A Pilot Study of Inflammatory Markers in Alzheimer's Disease,DRUG: doxycycline|DRUG: rifampin|DRUG: placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02051335,AstraZeneca,Roflumilast and Donepezil to Reverse Scopolamine Induced Cognitive Deficits in Healthy Adults,DRUG: Roflumilast|DRUG: Roflumilast placebo|DRUG: Donepezil|DRUG: Donepezil placebo|DRUG: Scopolamine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04337255,Rush University Medical Center,Mediterranean-DASH Intervention for Neurodegenerative Delay (MIND) Diet in Stroke Patients Patients,OTHER: Behavioral Dietary intervention ( MIND Diet)|OTHER: Behavioral Usual Care Diet Intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04251182,"T3D Therapeutics, Inc.",Clinical Study Evaluating Efficacy and Safety of T3D-959 in Mild-to-moderate AD Subjects,DRUG: 15mg T3D-959|DRUG: 30 mg T3D-959|DRUG: 45 mg T3D-959|DRUG: Placebos,15mg T3D-959; 30 mg T3D-959; 45 mg T3D-959,investigational_therapeutic_unverified,multiple unverified investigational candidates found (15mg T3D-959; 30 mg T3D-959; 45 mg T3D-959) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT04740580,Baylor College of Medicine,"Glutathione, Brain Metabolism and Inflammation in Alzheimer's Disease",DIETARY_SUPPLEMENT: Glycine|DIETARY_SUPPLEMENT: N-acetylcysteine|DIETARY_SUPPLEMENT: Alanine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01024660,AstraZeneca,The Effect of Cognitive Function as Measured by Repeated Cognitive Measures After 12 Weeks Treatment With Donepezil,DRUG: Donepezil|DRUG: Donepezil|DRUG: Placebo to match Aricept,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06870058,"Jiangsu Nhwa Pharmaceutical Co., Ltd.",A Study of NH280105 in Healthy Adult Participants,DRUG: NH280105- SAD|DRUG: NH280105- MAD|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05787041,South China Center For Innovative Pharmaceuticals,The Effect of High Fat Diet on the Pharmacokinetics of AD16 Tablets in Healthy Chinese Adult Subjects,OTHER: high-fat diet group（AD16 20mg）|OTHER: fasted group（AD16 20mg）,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06732128,Centre for Addiction and Mental Health,Nature-based Virtual Reality Intervention for Depression in Alzheimer's Disease,OTHER: nature-based virtual reality applications and videos|OTHER: nature-based videos,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03630419,"Perseverance Research Center, LLC",Specialized Food Plan Based on Individual Physiological Comprehensive Body Assessments Accompanied With Cellular Repair Therapy to Decrease Inflammation Cognitively Impaired Patients,DIETARY_SUPPLEMENT: Mito-Food Plan|OTHER: Cellular Repair Therapy,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02968719,"Corium, Inc.","A Phase 1, Corplex™ Donepezil Transdermal System Compared to Oral Aricept®",DRUG: Donepezil TDS Version A|DRUG: Donepezil TDS Version B|DRUG: Aricept|DRUG: Donepezil TDS Version D|DRUG: Donepezil TDS Version E,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02036645,AstraZeneca,"SAD/MAD Study to Assess Safety, Tolerability, PK & PD of MEDI1814 in Subjects With Mild-Moderate Alzheimer's Disease.",BIOLOGICAL: MEDI1814 for IV injection|BIOLOGICAL: MEDI1814 for Subcutaneous Injection|BIOLOGICAL: IV Placebo|BIOLOGICAL: Placebo for Subcutaneous Injection,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06826157,IRCCS San Raffaele,The Role of Advanced Electroencephalographic Data as Marker of Pathology and Prognosis in Primary Dementias,DIAGNOSTIC_TEST: Electroencephalogram|DIAGNOSTIC_TEST: 3 Tesla MRI|GENETIC: Apolipoprotein E genetic test,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06765434,Okan University,Effects of Personalized Music Listening in Advanced Alzheimer's,OTHER: Music ( Dmitri Shostakovich's Jazz Waltz Suite)|OTHER: Music( Personalized music),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01302340,Radboud University Medical Center,Delta-THC in Behavioral Disturbances in Dementia,DRUG: Delta-THC|DRUG: placebo|DRUG: Delta-THC,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07007208,"University Hospital, Toulouse","Biomarkers of the Locus Coeruleus Nucleus: Links With Early Tau Pathology, Cognition and Alzheimer's Disease Risk",DRUG: a positon emission tomography (PET) exam|OTHER: MRI Contrast|OTHER: oculometry assessment|OTHER: cognitive exams,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03451591,University of Edinburgh,LACunar Intervention (LACI-2) Trial-2,DRUG: Isosorbide Mononitrate XL (ISMN)|DRUG: Cilostazol|DRUG: ISMN XL and Cilostazol|OTHER: Neither ISMN nor cilostazol,Cilostazol; ISMN XL and Cilostazol; Neither ISMN nor cilostazol,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Cilostazol; ISMN XL and Cilostazol; Neither ISMN nor cilostazol) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07143331,Klotho Sciences Australia Pty Ltd.,A Phase 1 Study to Assess the Safety and Effects of Single and Multiple Doses of KS101 in Healthy Volunteers,DRUG: Part 1 KS101|DRUG: Part 1 Placebo|DRUG: Part 2 with Food|DRUG: Part 2 without food|DRUG: Part 3 KS101,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02176629,Centre Hospitalier Universitaire de Nice,Usability of Virtual Reality in Subjects With Mild Cognitive Impairment or Alzheimer's Disease,OTHER: Condition virtual reality (VR) then Condition classic cognitive stimulation (CCS)|OTHER: Condition classic cognitive stimulation (CCS) then Condition virtual reality (VR),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03259958,"Corium, Inc.",A Bioequivalence Study of Corplex™ Donepezil Transdermal Delivery System Compared to Aricept®,DRUG: Donepezil TDS|DRUG: Aricept,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03790709,Anavex Life Sciences Corp.,ANAVEX2-73 for Treatment of Early Alzheimer's Disease,DRUG: High dose ANAVEX2-73|DRUG: Mid dose ANAVEX2-73|DRUG: Placebo oral capsule,High dose ANAVEX2-73; Mid dose ANAVEX2-73,investigational_therapeutic_unverified,multiple unverified investigational candidates found (High dose ANAVEX2-73; Mid dose ANAVEX2-73) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT02260700,"Janssen Research & Development, LLC","A Study to Evaluate Bioavailability, Food Effect, Safety and Tolerability of a Solid Dosage Formulation of JNJ-54861911 in Healthy Older Male Participants",DRUG: JNJ-54861911 (Treatment A)|DRUG: JNJ-54861911 (Treatment B)|DRUG: JNJ-54861911 (Treatment C),JNJ-54861911 (Treatment A); JNJ-54861911 (Treatment B); JNJ-54861911 (Treatment C),investigational_therapeutic_unverified,multiple unverified investigational candidates found (JNJ-54861911 (Treatment A); JNJ-54861911 (Treatment B); JNJ-54861911 (Treatment C)) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT02196116,"University Hospital, Bordeaux",Amyloïd Load in Elderly Population: Effect of Cognitive Reserve,OTHER: PET|OTHER: MRI|OTHER: neuropsychological tests,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03978052,Parc de Salut Mar,Prevention of Cognitive Decline in ApoE4 Carriers With Subjective Cognitive Decline After EGCG and a Multimodal Intervention,DIETARY_SUPPLEMENT: EGCG|DIETARY_SUPPLEMENT: Placebo EGCG|OTHER: Healthy lifestyle recommendations|OTHER: Multimodal lifestyle intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00931073,Pfizer,A Phase I Study To Estimate The Effect Of Ketoconazole And Omeprazole On The Pharmacokinetics Of Dimebon In Healthy Subjects Who Are Normal Or Poor CYP2D6 Metabolizers,DRUG: Dimebon alone|DRUG: Dimebon + Ketoconazole|DRUG: Dimebon + Omeprazole,Dimebon alone; Dimebon + Ketoconazole; Dimebon + Omeprazole,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Dimebon alone; Dimebon + Ketoconazole; Dimebon + Omeprazole) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00692705,AstraZeneca,"Positron Emission Tomography (PET) Study With [11C]AZD2995 and [11C]AZD2184, Candidate PET Ligands for β Amyloid",DRUG: Radioligand (11C)AZD2995|DRUG: Radioligand (11C)AZD2184,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
